4.541
0.001002
0.001813
0.0002764
0.0004336

0.001 1e-06
-0.001 1e-06
-0.003 9e-06
0.001 1e-06
0.001 1e-06
0.001 1e-06
-0.001 1e-06
0.001 1e-06
0.001 1e-06
0.001 1e-06
0.001 1e-06
0.001 1e-06
0.001 1e-06
0.003 9e-06
0.003 9e-06
0.003 9e-06
0.003 9e-06
0.003 9e-06
0.001 1e-06
0.001 1e-06
-0.001 1e-06
-0.001 1e-06
0.001 1e-06
-0.001 1e-06
0.001 1e-06
-0.001 1e-06
-0.001 1e-06
-0.001 1e-06
-0.003 9e-06
-0.001 1e-06
-0.001 1e-06
-0.001 1e-06
-0.001 1e-06
-0.001 1e-06
-0.003 9e-06
-0.001 1e-06
-0.003 9e-06
-0.001 1e-06
-0.003 9e-06
-0.003 9e-06
-0.003 9e-06
0.001 1e-06
0 0
----------------------
-0.006 0.000138
